count,ingredient,normalized
487,vegetable broth,
487,caster sugar,
485,pumpkin pie spice,
485,freshly grated nutmeg,
482,bacon,
480,cucumber,
475,firmly packed brown sugar,
475,large carrots,
472,chopped garlic,
472,g/2oz butter,
469,container frozen whipped topping,
468,whole black peppercorns,
467,can evaporated milk,
466,free-range egg yolks,
465,can condensed cream of chicken soup,
462,fresh blueberries,
462,can whole kernel corn,
461,cayenne,
460,diced onion,
460,sprigs fresh thyme,
459,chopped cilantro,
457,dried crushed red pepper,
455,shredded Swiss cheese,
454,banana,
453,dark rum,
453,frozen peas,
453,red-wine vinegar,
452,prepared horseradish,
450,yellow cornmeal,
450,celery ribs,celery
449,coarse salt,
446,large egg yolk,
445,coriander seeds,
444,chopped onions,
443,Filling:,
442,cold milk,
441,ice,
440,bread crumbs,
436,chopped parsley,
436,peanut oil,
435,cooking oil,
432,reduced-sodium soy sauce,
432,g/11oz butter,
431,whole chicken,
430,butter ,
427,bananas,
424,miniature marshmallows,
424,sea salt and freshly ground black pepper,
422,package active dry yeast,
422,creamy peanut butter,
422,pure maple syrup,
421,can kidney beans,
421,chilled whipping cream,
420,package yellow cake mix,
420,fresh-ground black pepper,
420,coconut oil,
416,yellow onion,
415,applesauce,
415,poppy seeds,
415,container sour cream,
415,strawberries,
415,minced fresh ginger root,
413,half-and-half cream,
413,green onion,
407,chopped fresh oregano,
406,Salt and freshly ground black pepper,
405,ground pork,
405,salt and pepper,
404,minced fresh ginger,
403,quick-cooking oats,
402,corn tortillas,
402,cocoa powder,
402,fine sea salt,
401,chopped green onion,
401,chopped green pepper,
400,ground white pepper,
400,red bell peppers,
399,shredded Parmesan cheese,
398,vegetable oil for frying,
398,ground turkey,
396,celery seed,
396,package frozen chopped spinach,
396,chopped fresh tarragon,
396,cinnamon sticks,cinnamon
395,minced peeled fresh ginger,
393,grated lemon zest,
392,drained capers,
391,broccoli florets,
390,tsp baking powder,
389,can chicken broth,
389,pinch ground black pepper,
389,chopped fresh flat-leaf parsley,
387,ice water,
385,dried dill weed,
384,skim milk,
384,ground mustard,
384,red chilli,
383,self-rising flour,
382,sifted all-purpose flour,
381,plain flour,
380,ricotta cheese,
374,pecan halves,
374,large potatoes,
373,quarts water,
371,chopped fresh Italian parsley,
370,sliced green onions,
369,apple juice,
368,fresh raspberries,
366,blueberries,
361,dried marjoram,
361,large carrot,
361,medium zucchini,
359,fresh strawberries,
359,or 4 ice cubes,
357,poultry seasoning,
356,large tomatoes,
356,medium tomatoes,
356,vanilla pod,
355,hamburger buns,
354,sweet potatoes,
353,grated orange zest,
352,hard-cooked eggs,
351,pinch ground nutmeg,
351,caraway seeds,
350,FILLING:,
350,white-wine vinegar,
349,tomato sauce,
347,large tomato,
346,finely grated lemon zest,
345,chopped red bell pepper,
345,pork tenderloin,
345,bittersweet  or semisweet chocolate,
344,low-sodium chicken broth,
344,diced celery,celery
343,double cream,
342,uncooked white rice,
341,pineapple juice,
341,avocado,
340,fresh mint leaves,
339,pecans,
339,sunflower oil,
338,dried minced onion,
338,yellow bell pepper,
338,bunch green onions,
338,white pepper,
337,celery salt,
335,oranges,
333,crushed red pepper,
332,dried sage,
329,coconut milk,
329,bacon strips,
328,dry sherry,
328,boneless skinless chicken breasts,
328,freshly ground black pepper to taste,
325,salt and freshly ground black pepper to taste,
324,can crushed tomatoes,
323,cumin,
320,quick cooking oats,
320,red potatoes,
320,minced shallot,
318,vanilla ice cream,
317,fresh thyme leaves,
316,crumbled blue cheese,
316,Salt and pepper to taste,
